2026-09-24 02:31:21 | sys_operation | default_trace_id | INFO | {"event_id": "a6e6ad29-50b4-472a-b961-f80b95a0a6c9", "event_type": "sys_operation_start", "log_level": "INFO", "timestamp": "2026-09-24T02:31:21.304307+08:00", "module_type": "sys_operation", "module_id": "sys_operation", "module_name": "sys_operation", "status": "success", "message": "Start to read file", "metadata": {}, "operation_name": "fs", "operation_mode": "local", "operation_desc": "local fs operation", "method_name": "read_file", "method_params": {"path": "/root/HuaweiCloudLatam_LLMWiki/runtime/jiuwen/agent/workspace/AGENT.md", "mode": "text", "encoding": "utf-8", "chunk_size": 0, "only_read": false, "method_name": "read_file"}}
2026-09-24 02:31:21 | sys_operation | default_trace_id | ERROR | {"event_id": "148c4926-52ef-4a6d-a4df-f0e2403d0e50", "event_type": "sys_operation_error", "log_level": "ERROR", "timestamp": "2026-09-24T02:31:21.304761+08:00", "module_type": "sys_operation", "module_id": "sys_operation", "module_name": "sys_operation", "status": "success", "message": "Failed to execute read_file", "metadata": {}, "operation_name": "fs", "operation_mode": "local", "operation_desc": "local fs operation", "method_name": "read_file", "method_params": {"path": "/root/HuaweiCloudLatam_LLMWiki/runtime/jiuwen/agent/workspace/AGENT.md", "mode": "text", "encoding": "utf-8", "chunk_size": 0, "only_read": false, "method_name": "read_file"}, "method_result": {"code": 199003, "message": "file system operation execution error, execution: read_file, reason: [199003] file system operation execution error, execution: read_file, reason: File not found: /root/HuaweiCloudLatam_LLMWiki/runtime/jiuwen/agent/workspace/AGENT.md"}, "method_exec_time_ms": 0.9928210638463497}
2026-09-24 02:31:21 | sys_operation | default_trace_id | INFO | {"event_id": "ee63ae6c-89f1-4029-85e4-d66709ca4e18", "event_type": "sys_operation_start", "log_level": "INFO", "timestamp": "2026-09-24T02:31:21.304964+08:00", "module_type": "sys_operation", "module_id": "sys_operation", "module_name": "sys_operation", "status": "success", "message": "Start to read file", "metadata": {}, "operation_name": "fs", "operation_mode": "local", "operation_desc": "local fs operation", "method_name": "read_file", "method_params": {"path": "/root/HuaweiCloudLatam_LLMWiki/runtime/jiuwen/agent/workspace/SOUL.md", "mode": "text", "encoding": "utf-8", "chunk_size": 0, "only_read": false, "method_name": "read_file"}}
2026-09-24 02:31:21 | sys_operation | default_trace_id | ERROR | {"event_id": "1778848a-4013-49f4-81a4-8957709d63fe", "event_type": "sys_operation_error", "log_level": "ERROR", "timestamp": "2026-09-24T02:31:21.305221+08:00", "module_type": "sys_operation", "module_id": "sys_operation", "module_name": "sys_operation", "status": "success", "message": "Failed to execute read_file", "metadata": {}, "operation_name": "fs", "operation_mode": "local", "operation_desc": "local fs operation", "method_name": "read_file", "method_params": {"path": "/root/HuaweiCloudLatam_LLMWiki/runtime/jiuwen/agent/workspace/SOUL.md", "mode": "text", "encoding": "utf-8", "chunk_size": 0, "only_read": false, "method_name": "read_file"}, "method_result": {"code": 199003, "message": "file system operation execution error, execution: read_file, reason: [199003] file system operation execution error, execution: read_file, reason: File not found: /root/HuaweiCloudLatam_LLMWiki/runtime/jiuwen/agent/workspace/SOUL.md"}, "method_exec_time_ms": 0.25846599601209164}
2026-09-24 02:31:21 | sys_operation | default_trace_id | INFO | {"event_id": "7a5dfef2-be88-4ba3-b2d1-1fa1f72070ac", "event_type": "sys_operation_start", "log_level": "INFO", "timestamp": "2026-09-24T02:31:21.305409+08:00", "module_type": "sys_operation", "module_id": "sys_operation", "module_name": "sys_operation", "status": "success", "message": "Start to read file", "metadata": {}, "operation_name": "fs", "operation_mode": "local", "operation_desc": "local fs operation", "method_name": "read_file", "method_params": {"path": "/root/HuaweiCloudLatam_LLMWiki/runtime/jiuwen/agent/workspace/HEARTBEAT.md", "mode": "text", "encoding": "utf-8", "chunk_size": 0, "only_read": false, "method_name": "read_file"}}
2026-09-24 02:31:21 | sys_operation | default_trace_id | ERROR | {"event_id": "9d20bb82-92b3-4e4e-ae80-19d735a2a882", "event_type": "sys_operation_error", "log_level": "ERROR", "timestamp": "2026-09-24T02:31:21.305646+08:00", "module_type": "sys_operation", "module_id": "sys_operation", "module_name": "sys_operation", "status": "success", "message": "Failed to execute read_file", "metadata": {}, "operation_name": "fs", "operation_mode": "local", "operation_desc": "local fs operation", "method_name": "read_file", "method_params": {"path": "/root/HuaweiCloudLatam_LLMWiki/runtime/jiuwen/agent/workspace/HEARTBEAT.md", "mode": "text", "encoding": "utf-8", "chunk_size": 0, "only_read": false, "method_name": "read_file"}, "method_result": {"code": 199003, "message": "file system operation execution error, execution: read_file, reason: [199003] file system operation execution error, execution: read_file, reason: File not found: /root/HuaweiCloudLatam_LLMWiki/runtime/jiuwen/agent/workspace/HEARTBEAT.md"}, "method_exec_time_ms": 0.2376250922679901}
2026-09-24 02:31:21 | sys_operation | default_trace_id | INFO | {"event_id": "dd4d9740-2b5c-4bc9-98c9-463943748c81", "event_type": "sys_operation_start", "log_level": "INFO", "timestamp": "2026-09-24T02:31:21.305807+08:00", "module_type": "sys_operation", "module_id": "sys_operation", "module_name": "sys_operation", "status": "success", "message": "Start to read file", "metadata": {}, "operation_name": "fs", "operation_mode": "local", "operation_desc": "local fs operation", "method_name": "read_file", "method_params": {"path": "/root/HuaweiCloudLatam_LLMWiki/runtime/jiuwen/agent/workspace/USER.md", "mode": "text", "encoding": "utf-8", "chunk_size": 0, "only_read": false, "method_name": "read_file"}}
2026-09-24 02:31:21 | sys_operation | default_trace_id | ERROR | {"event_id": "15459114-1188-477d-8f97-9621725bd321", "event_type": "sys_operation_error", "log_level": "ERROR", "timestamp": "2026-09-24T02:31:21.306013+08:00", "module_type": "sys_operation", "module_id": "sys_operation", "module_name": "sys_operation", "status": "success", "message": "Failed to execute read_file", "metadata": {}, "operation_name": "fs", "operation_mode": "local", "operation_desc": "local fs operation", "method_name": "read_file", "method_params": {"path": "/root/HuaweiCloudLatam_LLMWiki/runtime/jiuwen/agent/workspace/USER.md", "mode": "text", "encoding": "utf-8", "chunk_size": 0, "only_read": false, "method_name": "read_file"}, "method_result": {"code": 199003, "message": "file system operation execution error, execution: read_file, reason: [199003] file system operation execution error, execution: read_file, reason: File not found: /root/HuaweiCloudLatam_LLMWiki/runtime/jiuwen/agent/workspace/USER.md"}, "method_exec_time_ms": 0.20633498206734657}
2026-09-24 02:31:21 | sys_operation | default_trace_id | INFO | {"event_id": "b5ed6cfc-2a90-4f42-96f6-e8350881e7dc", "event_type": "sys_operation_start", "log_level": "INFO", "timestamp": "2026-09-24T02:31:21.306192+08:00", "module_type": "sys_operation", "module_id": "sys_operation", "module_name": "sys_operation", "status": "success", "message": "Start to read file", "metadata": {}, "operation_name": "fs", "operation_mode": "local", "operation_desc": "local fs operation", "method_name": "read_file", "method_params": {"path": "/root/HuaweiCloudLatam_LLMWiki/runtime/jiuwen/agent/workspace/IDENTITY.md", "mode": "text", "encoding": "utf-8", "chunk_size": 0, "only_read": false, "method_name": "read_file"}}
2026-09-24 02:31:21 | sys_operation | default_trace_id | ERROR | {"event_id": "f64f6a16-f7fc-4c14-8d8f-b2754eca74fe", "event_type": "sys_operation_error", "log_level": "ERROR", "timestamp": "2026-09-24T02:31:21.306438+08:00", "module_type": "sys_operation", "module_id": "sys_operation", "module_name": "sys_operation", "status": "success", "message": "Failed to execute read_file", "metadata": {}, "operation_name": "fs", "operation_mode": "local", "operation_desc": "local fs operation", "method_name": "read_file", "method_params": {"path": "/root/HuaweiCloudLatam_LLMWiki/runtime/jiuwen/agent/workspace/IDENTITY.md", "mode": "text", "encoding": "utf-8", "chunk_size": 0, "only_read": false, "method_name": "read_file"}, "method_result": {"code": 199003, "message": "file system operation execution error, execution: read_file, reason: [199003] file system operation execution error, execution: read_file, reason: File not found: /root/HuaweiCloudLatam_LLMWiki/runtime/jiuwen/agent/workspace/IDENTITY.md"}, "method_exec_time_ms": 0.2483550924807787}
2026-09-24 02:31:36 | sys_operation | default_trace_id | INFO | {"event_id": "7b55ef8c-4a67-439e-8c36-c21615eb6cc7", "event_type": "sys_operation_start", "log_level": "INFO", "timestamp": "2026-09-24T02:31:36.248713+08:00", "module_type": "sys_operation", "module_id": "sys_operation", "module_name": "sys_operation", "status": "success", "message": "Start to read file", "metadata": {}, "operation_name": "fs", "operation_mode": "local", "operation_desc": "local fs operation", "method_name": "read_file", "method_params": {"path": "/root/HuaweiCloudLatam_LLMWiki/runtime/jiuwen/agent/workspace/AGENT.md", "mode": "text", "encoding": "utf-8", "chunk_size": 0, "only_read": false, "method_name": "read_file"}}
